Adelaide,Adelaide,Adelaide Street Circuit,Australia,AUS,-34.7072786,138.3438002,52
Ascurra,Ascurra,Max Mohr Circuit,Brazil,BRA,-26.9372386,-49.3903302,88
Azure Circuit,Azure Circuit,Azure Circuit,Reiza,RZA,0,0,1
Barcelona,Barcelona,Circuit de Barcelona-Catalunya,Spain,ESP,41.5695,2.2575,115
Bathurst,Bathurst,Mount Panorama Circuit,Australia,AUS,-33.4486,149.5547,780
Brands Hatch,Brands Hatch,Brands Hatch Circuit,England,GBR-ENG,51.3566,0.2614,177
Brasília,Brasília,Autódromo Brasília BRB,Brazil,BRA,-15.7728644,-47.9020767,1172
Buenos Aires,Buenos Aires,Autódromo Óscar y Juan Gálvez,Argentina,ARG,-34.6978258,-58.4714564,10
Buskerud,Buskerud,Buskerud Kart Track,Norway,NOR,60.2446211,7.7015854,35
Cadwell Park,Cadwell Park,Cadwell Park Circuit,England,GBR-ENG,53.3096001,-0.0697802,122
Campo Grande,Campo Grande,Autódromo Orlando Moura,Brazil,BRA,3.0513405,-82.0531904,592
Cascais,Cascais,Autódromo Fernanda Pires da Silva,Portugal,PRT,38.7491015,-9.3960739,130
Cascavel,Cascavel,Autódromo Zilmar Beux de Cascavel,Brazil,BRA,-24.9819606,-53.3897087,750
Cleveland,Cleveland,Grand Prix of Cleveland,USA,USA,41.5312313,-81.6790431,199
Curitiba,Curitiba,Autódromo Internacional de Curitiba,Brazil,BRA,-25.444722,-49.196944,881
Curvelo,Curvelo,Autódromo Curvelo,Brazil,BRA,-18.9011312,-44.557409,672
Córdoba,Córdoba,Autódromo Oscar Cabalén,Argentina,ARG,-31.5777004,-64.3674171,586
Daytona,Daytona,Daytona International Speedway,USA,USA,17.3011292,-69.8407186,9
Donington,Donington,Donington Park,England,GBR-ENG,52.8304,-1.3749,96
Fontana,Fontana,Auto Club Speedway,USA,USA,34.0867452,-117.4953334,377
Foz,Foz,Foz do Iguaçu,Brazil,BRA,-25.5182827,-54.5879,164
Galeao Airport,Galeao Airport,Galeao Airport,Brazil,BRA,-22.802723,-43.2501475,10
Gateway,Gateway,World Wide Technology Raceway,USA,USA,38.6507585,-90.1379298,377
Goiânia,Goiânia,Autódromo Internacional Ayrton Senna,Brazil,BRA,-16.7191167,-49.1946293,757
Granja Viana,Granja Viana,Kartódromo Internacional da Granja Viana,Brazil,BRA,-23.6051739,-46.8386573,828
Guaporé,Guaporé,Autódromo Internacional de Guaporé,Brazil,BRA,-28.8444262,-51.8542861,474
Hockenheimring,Hockenheimring,Hockenheimring Baden-Württemberg,Germany,DEU,49.3271529,8.562912,102
Ibarra,Ibarra,Autódromo Internacional José Tobar,Ecuador,ECU,0.3802654,-78.1035038,2190
Imola,Imola,Autodromo Enzo e Dino Ferrari,Italy,ITA,44.3443939,11.7130472,47
Indianapolis,Indianapolis,Indianapolis Motor Speedway,USA,USA,39.7903187,-86.236236,220
Interlagos,Interlagos,Autódromo José Carlos Pace,Brazil,BRA,-23.7045832,-46.7018401,750
Jacarepaguá,Jacarepaguá,Autódromo Internacional Nelson Piquet,Brazil,BRA,-22.975556,-43.395,30
Jerez,Jerez,Circuito de Jerez – Ángel Nieto,Spain,ESP,36.708333,-6.034167,38
Kansai,Kansai,Suzuka International Racing Course Simulation,Japan,JAP,34.8417,136.5389,47
Kyalami,Kyalami,Kyalami Grand Prix Circuit,South Africa,ZAF,-25.998056,28.068889,1532
Laguna Seca,Laguna Seca,WeatherTech Raceway Laguna Seca,USA,USA,36.584167,-121.753611,220
Le Mans,Le Mans,Circuit de la Sarthe,France,FRA,47.933333,0.233333,52
Londrina,Londrina,Autódromo Internacional Ayrton Senna,Brazil,BRA,-23.282222,-51.167222,566
Long Beach,Long Beach,Long Beach,USA,USA,33.766389,-118.192778,2
Montreal,Montreal,Circuit Gilles Villeneuve,Canada,CAN,45.500556,-73.5225,13
Monza,Monza,Autodromo Nazionale Monza,Italy,ITA,45.620556,9.289444,180
Mosport,Mosport,Canadian Tire Motorsport Park,Canada,CAN,44.0512778,-78.6797009,300
Nürburgring,Nürburgring,Nürburgring,Germany,DEU,50.335556,6.9475,397
Ortona,Ortona,Circuito Internazionale d'Abruzzo,Italy,ITA,42.3056608,14.3778113,137
Oulton Park,Oulton Park,Oulton Park,England,GBR-ENG,53.1768,-2.6168,65
Road America,Road America,Rod America,USA,USA,43.7975,-87.993889,300
Road Atlanta,Road Atlanta,Michelin Raceway Road Atlanta,USA,USA,34.146667,-83.817778,277
Salvador,Salvador,Circuito Ayrton Senna,Brazil,BRA,-12.9475,-38.428056,68
Santa Cruz,Santa Cruz,Autódromo Internacional de Santa Cruz do Sul,Brazil,BRA,-29.8,-52.436667,120
Sebring,Sebring,Sebring International Raceway,USA,USA,27.455,-81.35,18
Silverstone,Silverstone,Silverstone Circuit,England,GBR-ENG,52.071,-1.0147,154
Snetterton,Snetterton,Snetterton Circuit,England,GBR-ENG,52.4648,0.9473,43
Spa-Francorchamps,Spa-Francorchamps,Circuit de Spa-Francorchamps,Belgium,BEL,50.4375,5.9685,394
Speedland,Speedland,Speedland Kart Centre,Brazil,BRA,-23.5333361,-46.5863756,700
Spielberg,Spielberg,Red Bull Ring,Austria,AUT,47.2228736,14.760198,660
Tarumã,Tarumã,Autódromo Internacional de Tarumã,Brazil,BRA,-30.048611,-51.019167,71
Termas de Río Hondo,Termas de Río Hondo,Autódromo Termas de Río Hondo,Argentina,ARG,-27.505861,-64.914472,280
Tykki,Tykki,Kouvola Circuit,Finland,FIN,60.8838619,26.7913711,81
Velo Città,Velo Città,Autódromo Velo Città,Brazil,BRA,-22.288889,-46.848333,750
Velopark,Velopark,Velopark,Brazil,BRA,-29.822778,-51.320833,15
Virginia,Virginia,Virginia International Raceway (VIR),USA,USA,36.561667,-79.204722,65
Watkins Glen,Watkins Glen,Watkins Glen International,USA,USA,42.3362,-76.9252,452
